sn,age,sex,cond,reptime,trial,repcond,imcat,imnum,loc,resp,corr,rt,imname
 2,25,1,2, 2,15,1,2, 3,4,2,1,454.10,famous_female03.jpg
 2,25,1,2, 2,16,1,1, 5,2,1,1,614.07,famous_male05.jpg
 2,25,1,2, 2,17,1,2,18,2,2,1,646.05,famous_female18.jpg
 2,25,1,2, 2,18,1,1,23,2,1,1,646.00,famous_male23.jpg
 2,25,1,2, 2,19,1,2, 8,4,2,1,662.00,famous_female08.jpg
 2,25,1,2, 2,20,1,1, 4,4,1,1,525.99,famous_male04.jpg
 2,25,1,2, 2,21,1,1,15,1,1,1,557.99,famous_male15.jpg
 2,25,1,2, 2,22,1,2,21,1,2,1,789.97,famous_female21.jpg
 2,25,1,2, 2,23,1,2,14,2,2,1,861.95,famous_female14.jpg
 2,25,1,2, 2,24,1,1,22,1,1,1,573.94,famous_male22.jpg
 2,25,1,2, 3, 1,1,2,11,3,2,1,572.88,famous_female11.jpg
 2,25,1,2, 3, 2,1,1, 7,3,1,1,708.87,famous_male07.jpg
 2,25,1,2, 3, 3,1,1,11,2,1,1,612.86,famous_male11.jpg
 2,25,1,2, 3, 4,1,1, 5,2,1,1,476.84,famous_male05.jpg
 2,25,1,2, 3, 5,1,2, 8,4,2,1,556.81,famous_female08.jpg
 2,25,1,2, 3, 6,1,1, 9,1,1,1,724.81,famous_male09.jpg
 2,25,1,2, 3, 7,1,1,19,4,1,1,588.81,famous_male19.jpg
 2,25,1,2, 3, 8,1,2,21,1,2,1,628.79,famous_female21.jpg
 2,25,1,2, 3, 9,1,2, 6,4,2,1,748.78,famous_female06.jpg
 2,25,1,2, 3,10,1,2,20,3,2,1,740.83,famous_female20.jpg
 2,25,1,2, 3,11,1,1,15,1,1,1,660.73,famous_male15.jpg
 2,25,1,2, 3,12,1,1,22,1,1,1,596.79,famous_male22.jpg
 2,25,1,2, 3,13,1,2, 3,4,2,1,572.70,famous_female03.jpg
 2,25,1,2, 3,14,1,1,18,4,1,1,732.70,famous_male18.jpg
 2,25,1,2, 3,15,1,2,22,2,2,1,652.72,famous_female22.jpg
 2,25,1,2, 3,16,1,2,14,2,2,1,508.67,famous_female14.jpg
 2,25,1,2, 3,17,1,1,16,3,1,1,500.67,famous_male16.jpg
 2,25,1,2, 3,18,1,2,24,1,2,1,460.65,famous_female24.jpg
 2,25,1,2, 3,19,1,2,13,1,2,1,468.63,famous_female13.jpg
 2,25,1,2, 3,20,1,2,18,2,2,1,596.62,famous_female18.jpg
 2,25,1,2, 3,21,1,1,23,2,1,1,540.62,famous_male23.jpg
 2,25,1,2, 3,22,1,1, 4,4,2,2,644.60,famous_male04.jpg
 2,25,1,2, 3,23,1,2, 5,3,2,1,556.56,famous_female05.jpg
 2,25,1,2, 3,24,1,1,24,3,1,1,444.57,famous_male24.jpg
 2,25,1,2, 4, 1,1,2, 3,4,2,1,506.69,famous_female03.jpg
 2,25,1,2, 4, 2,1,1,11,2,1,1,570.66,famous_male11.jpg
 2,25,1,2, 4, 3,1,2,14,2,2,1,506.64,famous_female14.jpg
 2,25,1,2, 4, 4,1,1,19,4,1,1,762.62,famous_male19.jpg
 2,25,1,2, 4, 5,1,2, 6,4,2,1,602.64,famous_female06.jpg
 2,25,1,2, 4, 6,1,2, 5,3,2,1,562.61,famous_female05.jpg
 2,25,1,2, 4, 7,1,2,18,2,2,1,682.59,famous_female18.jpg
 2,25,1,2, 4, 8,1,1, 9,1,1,1,594.58,famous_male09.jpg
 2,25,1,2, 4, 9,1,2,24,1,2,1,610.56,famous_female24.jpg
 2,25,1,2, 4,10,1,1,18,4,1,1,754.54,famous_male18.jpg
 2,25,1,2, 4,11,1,1,16,3,1,1,498.54,famous_male16.jpg
 2,25,1,2, 4,12,1,2,21,1,2,1,930.48,famous_female21.jpg
 2,25,1,2, 4,13,1,2,13,1,1,2,858.48,famous_female13.jpg
