SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
3,59,2,1,1,1,1,1428.08,2,nonwin8.png
3,60,2,1,3,2,0,919.26,3,nonwin2_10.png
3,61,2,2,2,3,0,1796.45,1,nonwin2_12.png
3,62,1,2,3,2,0,839.21,2,wordex2_7.png
3,63,1,1,1,1,1,1829.2,1,wordin2_2.png
3,64,1,1,1,4,0,1910.52,2,wordin2_7.png
3,65,1,1,3,3,1,1348.4,2,wordin2_10.png
3,66,2,1,3,2,0,1049.46,2,nonwex2_1.png
3,67,1,2,1,3,0,821.17,2,wordin2_9.png
3,68,1,2,1,1,1,1979.24,2,wordin10.png
3,69,1,1,3,2,0,2042.97,2,wordex8.png
3,70,1,2,4,1,0,860.88,1,wordex2_10.png
3,71,2,2,1,3,0,1408.31,2,nonwex2_10.png
3,72,1,1,1,2,0,1226.7,3,wordin12.png
3,73,2,2,3,4,0,1211.45,2,nonwin5.png
3,74,1,1,2,3,0,2132.15,3,wordin11.png
3,75,1,2,4,4,1,2670.03,3,wordin2_3.png
3,76,2,1,2,1,0,2535.64,2,nonwin6.png
3,77,1,1,3,4,0,1881.76,3,wordin3.png
3,78,1,2,2,2,1,1560.31,2,wordex2.png
3,79,2,1,2,3,0,1284.08,3,nonwex2_8.png
3,80,1,1,1,2,0,1086.06,2,wordex2_6.png
4,1,1,2,2,2,1,3009.27,4,wordin1.png
4,2,2,1,1,1,1,4510.71,2,nonwex5.png
4,3,1,2,3,3,1,2982.23,4,wordin2_4.png
4,4,2,1,4,4,1,3527.1,4,nonwex2_12.png
4,5,1,2,1,1,1,2703,4,wordex8.png
4,6,2,2,2,3,0,6317.46,1,nonwex2_8.png
4,7,2,2,4,1,0,2309.53,4,nonwin7.png
4,8,2,2,3,3,1,2825.75,4,nonwex2_4.png
4,9,1,1,2,2,1,1593.49,4,wordin2_8.png
4,10,2,2,4,4,1,4966.47,3,nonwex2_7.png
4,11,2,2,3,3,1,2176.19,2,nonwex6.png
4,12,1,1,3,3,1,2466.64,4,wordex2_10.png
4,13,1,1,1,1,1,1488.36,4,wordex5.png
4,14,1,1,4,4,1,5096.11,3,wordin2_11.png
4,15,2,2,3,3,1,9121.92,3,nonwin2_12.png
4,16,2,1,3,3,1,1842.87,4,nonwex2_6.png
4,17,2,2,2,2,1,1709.98,2,nonwin2_7.png
4,18,1,2,3,4,0,4887.89,1,wordin4.png
4,19,1,1,4,3,0,7588.76,1,wordin6.png
4,20,1,2,3,3,1,2091.05,4,wordex2_12.png
4,21,2,2,1,2,0,3133.8,1,nonwex9.png
4,22,2,1,1,1,1,2421.13,4,nonwin2_8.png
4,23,2,2,3,3,1,3456.86,1,nonwin4.png
4,24,1,2,4,4,1,6404.31,1,wordex2_9.png
4,25,1,2,2,2,1,5094.81,4,wordex3.png
4,26,2,1,4,2,0,4596.45,4,nonwin10.png
4,27,1,1,4,2,0,1437.32,3,wordex10.png
4,28,1,1,4,3,0,2417.29,1,wordin9.png
4,29,2,1,3,1,0,3333.68,3,nonwex2_9.png
4,30,1,2,2,2,1,1416.05,4,wordex7.png
4,31,1,1,2,1,0,3986.59,1,wordex12.png
4,32,1,2,3,1,0,4638.13,4,wordin8.png
4,33,1,1,1,1,1,763.09,4,wordex2_7.png
4,34,2,1,3,3,1,4028.81,1,nonwin12.png
4,35,1,1,4,2,0,9646.84,4,wordex2_2.png
4,36,2,1,1,4,0,3719.27,1,nonwex11.png
4,37,2,1,4,4,1,1090.29,4,nonwex2_2.png
4,38,1,1,2,2,1,6677.3,4,wordin2_2.png
4,39,2,1,3,3,1,1304.92,4,nonwex10.png
4,40,2,1,2,2,1,6501.61,1,nonwin2.png
4,41,1,2,1,1,1,6982.44,4,wordin2_3.png
4,42,2,2,2,2,1,1047.42,4,nonwin2_11.png
4,43,1,2,2,2,1,2485.92,4,wordex11.png
4,44,1,2,3,4,0,5273.7,1,wordex2_11.png
4,45,1,1,1,2,0,7338.29,1,wordin3.png
4,46,1,2,4,4,1,3959.42,4,wordex1.png
4,47,2,1,2,2,1,5425.77,4,nonwex1.png
4,48,2,1,4,4,1,1126.94,1,nonwin2_10.png
4,49,2,2,1,3,0,2210.26,1,nonwex4.png
4,50,2,1,2,2,1,1164.73,1,nonwin3.png
4,51,1,1,3,3,1,2368.79,1,wordex2.png
4,52,1,2,1,1,1,1769.94,4,wordex4.png
4,53,1,1,2,2,1,1217.27,4,wordin10.png
4,54,2,2,4,4,1,3330.52,4,nonwex2_1.png
4,55,2,2,4,4,1,2139.25,4,nonwin2_5.png
4,56,1,1,2,2,1,1735.78,4,wordin2.png
4,57,1,1,3,3,1,5917.14,4,wordin5.png
4,58,2,2,1,4,0,3220.07,2,nonwin2_6.png
4,59,1,2,4,4,1,2416.84,4,wordex2_6.png
4,60,2,1,1,1,1,1943.45,4,nonwex2_3.png
4,61,2,2,4,2,0,1974.42,4,nonwin9.png
4,62,1,2,1,2,0,6323.28,3,wordin2_1.png
4,63,1,1,1,4,0,5253.43,2,wordin12.png
4,64,2,1,1,4,0,992.92,2,nonwin2_4.png
4,65,1,2,4,4,1,3331.66,3,wordex9.png
4,66,2,1,3,3,1,1228.33,3,nonwin2_1.png
4,67,2,2,1,1,1,4868.72,4,nonwin5.png
4,68,2,2,2,2,1,2670.22,3,nonwex2.png
4,69,2,1,2,2,1,3214.33,2,nonwin2_3.png
4,70,1,1,3,3,1,1587.89,4,wordex2_5.png
4,71,2,1,2,4,0,5734.8,1,nonwin1.png
4,72,1,1,3,3,1,1220.88,4,wordin2_6.png
4,73,1,1,1,2,0,3883.01,2,wordex2_4.png
4,74,1,2,1,1,1,3724.73,4,wordex2_1.png
4,75,2,1,4,4,1,3358.03,4,nonwex2_5.png
4,76,2,2,3,2,0,2212.04,1,nonwex2_10.png
4,77,2,2,2,2,1,4454.42,4,nonwex12.png
4,78,1,2,2,2,1,793.04,4,wordin2_10.png
4,79,1,2,4,4,1,3046.23,4,wordex6.png
4,80,2,2,1,1,1,4254.01,1,nonwin2_2.png
5,1,1,1,2,2,1,1544.27,2,wordex7.png
5,2,2,2,3,3,1,1966.71,3,nonwex2_9.png
5,3,1,1,2,1,0,2091.61,1,wordex4.png
5,4,2,1,1,2,0,4437.09,2,nonwex2_2.png
5,5,1,2,3,3,1,4855.92,4,wordex2_2.png
5,6,2,1,3,1,0,6497.87,1,nonwin11.png
5,7,1,2,1,1,1,3793.83,3,wordex11.png
5,8,1,1,4,2,0,5080.73,2,wordin10.png
5,9,2,2,1,2,0,10193.95,2,nonwex2.png
5,10,2,2,2,3,0,25517.01,2,nonwex12.png
5,11,2,1,2,2,1,1579.09,4,nonwex2_3.png
