SID,Familiarity,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
4,2,59,1,2,2,1,1853.33,unknown_female19.jpg
4,1,60,1,3,3,1,1074.88,famous_male13.jpg
4,1,61,1,4,4,1,944.43,famous_male10.jpg
4,2,62,2,4,4,1,2494.02,unknown_female10.jpg
4,1,63,2,3,3,1,1131.54,famous_female16.jpg
4,1,64,1,1,1,1,1137.1,famous_male08.jpg
4,1,65,1,1,1,1,1198.64,famous_female18.jpg
4,1,66,2,3,3,1,1164.21,famous_male11.jpg
4,2,67,2,2,2,1,961.77,unknown_male18.jpg
4,2,68,1,3,3,1,1039.3,unknown_female03.jpg
4,1,69,1,1,1,1,1596.86,famous_female14.jpg
4,1,70,1,4,4,1,1514.45,famous_female19.jpg
4,2,71,1,1,1,1,1079.97,unknown_female07.jpg
4,2,72,1,2,2,1,1749.54,unknown_female11.jpg
4,1,73,1,4,4,1,1315.07,famous_female01.jpg
4,1,74,1,2,2,1,1320.62,famous_male09.jpg
4,2,75,1,4,4,1,2926.18,unknown_male08.jpg
4,2,76,1,3,3,1,2043.72,unknown_male13.jpg
4,1,77,2,3,3,1,1305.32,famous_male20.jpg
4,1,78,1,3,3,1,1342.84,famous_female10.jpg
4,2,79,1,4,4,1,1932.39,unknown_female01.jpg
4,2,80,1,1,1,1,2393.83,unknown_male17.jpg
5,1,1,1,2,2,1,1141.89,famous_female04.jpg
5,1,2,1,2,2,1,835.5,famous_male12.jpg
5,1,3,2,2,2,1,721.05,famous_male20.jpg
5,2,4,1,1,1,1,646.63,unknown_female13.jpg
5,1,5,1,1,1,1,572.16,famous_male02.jpg
5,2,6,2,1,1,1,528.95,unknown_female06.jpg
5,1,7,1,4,4,1,950.56,famous_female05.jpg
5,2,8,2,2,2,1,1028.12,unknown_male06.jpg
5,1,9,1,1,1,1,857.67,famous_female09.jpg
5,2,10,2,4,4,1,1015.22,unknown_female04.jpg
5,2,11,1,1,1,1,684.62,unknown_female20.jpg
5,2,12,1,4,4,1,1138.33,unknown_female05.jpg
5,1,13,1,1,1,1,1047.89,famous_female10.jpg
5,2,14,1,2,2,1,701.42,unknown_male01.jpg
5,1,15,2,4,4,1,834.93,famous_female18.jpg
5,1,16,1,3,3,1,688.54,famous_female19.jpg
5,1,17,2,2,2,1,694.09,famous_female01.jpg
5,2,18,2,2,2,1,739.65,unknown_female14.jpg
5,1,19,2,3,3,1,697.21,famous_male14.jpg
5,1,20,2,4,4,1,582.75,famous_female13.jpg
5,1,21,2,4,4,1,804.34,famous_male18.jpg
5,1,22,2,1,1,1,1425.84,famous_female11.jpg
5,2,23,1,4,4,1,1047.41,unknown_female15.jpg
5,1,24,1,1,1,1,596.96,famous_male05.jpg
5,2,25,1,3,3,1,834.51,unknown_female12.jpg
5,2,26,2,4,4,1,928.07,unknown_female11.jpg
5,2,27,2,1,1,1,877.63,unknown_female01.jpg
5,1,28,1,3,3,1,819.17,famous_male17.jpg
5,1,29,2,3,3,1,752.73,famous_female20.jpg
5,1,30,2,2,2,1,942.28,famous_male15.jpg
5,2,31,2,2,2,1,699.84,unknown_female09.jpg
5,2,32,1,3,3,1,833.35,unknown_male11.jpg
5,1,33,2,2,2,1,1286.88,famous_male10.jpg
5,2,34,2,2,2,1,628.49,unknown_male10.jpg
5,1,35,2,3,3,1,705.99,famous_female02.jpg
5,1,36,1,1,1,1,743.54,famous_female16.jpg
5,2,37,2,3,3,1,653.16,unknown_male08.jpg
5,2,38,1,4,4,1,618.7,unknown_male07.jpg
5,2,39,2,4,4,1,1032.26,unknown_male12.jpg
5,2,40,1,3,3,1,701.8,unknown_female18.jpg
5,2,41,2,3,3,1,507.38,unknown_female17.jpg
5,2,42,1,1,1,1,1048.94,unknown_male05.jpg
5,2,43,1,3,3,1,1070.47,unknown_male02.jpg
5,1,44,1,4,4,1,652.03,famous_female14.jpg
5,2,45,1,4,4,1,1337.54,unknown_male19.jpg
5,2,46,1,4,4,1,927.14,unknown_female10.jpg
5,2,47,2,1,1,1,1020.7,unknown_male15.jpg
5,2,48,1,3,3,1,1034.24,unknown_male13.jpg
5,1,49,1,3,3,1,551.78,famous_male13.jpg
5,1,50,1,4,4,1,1253.34,famous_male16.jpg
5,1,51,2,4,4,1,1194.86,famous_female17.jpg
5,2,52,1,1,1,1,1392.47,unknown_female19.jpg
5,2,53,1,2,2,1,981.97,unknown_male04.jpg
5,2,54,1,2,2,1,763.55,unknown_female07.jpg
5,1,55,2,3,3,1,1049.14,famous_male03.jpg
5,1,56,2,1,1,1,1302.51,famous_female12.jpg
5,2,57,1,2,2,1,1140.2,unknown_male18.jpg
5,2,58,2,3,3,1,929.8,unknown_male16.jpg
5,1,59,2,4,4,1,967.26,famous_male19.jpg
5,1,60,2,1,1,1,716.86,famous_male06.jpg
5,1,61,1,4,4,1,890.42,famous_female06.jpg
5,1,62,2,2,2,1,631.97,famous_female03.jpg
5,2,63,2,1,1,1,1117.53,unknown_male20.jpg
5,1,64,1,3,3,1,795.08,famous_male08.jpg
5,1,65,1,2,2,1,1048.64,famous_male04.jpg
5,1,66,2,1,1,1,902.18,famous_male07.jpg
5,1,67,1,2,2,1,939.74,famous_female07.jpg
5,1,68,1,4,4,1,937.29,famous_male01.jpg
5,2,69,2,2,2,1,870.84,unknown_male17.jpg
5,2,70,2,3,3,1,692.4,unknown_male09.jpg
5,1,71,2,3,3,1,737.95,famous_male11.jpg
5,2,72,2,4,4,1,879.5,unknown_male14.jpg
5,2,73,1,1,1,1,693,unknown_male03.jpg
5,2,74,2,3,3,1,650.63,unknown_female03.jpg
5,2,75,1,2,2,1,960.17,unknown_female02.jpg
5,1,76,1,3,3,1,1029.78,famous_female15.jpg
5,2,77,2,4,4,1,811.29,unknown_female08.jpg
5,2,78,2,1,1,1,936.82,unknown_female16.jpg
5,1,79,2,1,1,1,734.38,famous_female08.jpg
5,1,80,1,2,2,1,547.87,famous_male09.jpg
6,2,1,2,4,4,1,859.96,unknown_female07.jpg
6,2,2,2,3,3,1,601.5,unknown_female04.jpg
6,2,3,2,2,2,1,423.08,unknown_female18.jpg
6,1,4,1,1,1,1,540.61,famous_male16.jpg
6,1,5,2,3,3,1,458.16,famous_male15.jpg
6,2,6,1,3,3,1,415.7,unknown_male14.jpg
6,2,7,1,4,4,1,373.26,unknown_male10.jpg
6,2,8,1,2,2,1,626.84,unknown_male20.jpg
6,1,9,2,2,2,1,440.36,famous_male11.jpg
6,1,10,1,4,4,1,525.93,famous_female17.jpg
6,2,11,1,4,4,1,411.48,unknown_female09.jpg
6,1,12,1,2,2,1,593.05,famous_male20.jpg
6,2,13,1,3,3,1,589.32,unknown_male06.jpg
6,1,14,1,4,4,1,460.28,famous_male18.jpg
6,1,15,1,1,1,1,497.7,famous_female04.jpg
6,2,16,1,1,1,1,383.25,unknown_male12.jpg
6,1,17,2,4,4,1,556.79,famous_male14.jpg
6,1,18,1,4,4,1,562.35,famous_female08.jpg
6,1,19,2,2,2,1,479.9,famous_female03.jpg
6,2,20,1,2,2,1,477.44,unknown_female06.jpg
6,1,21,1,1,1,1,579,famous_female19.jpg
6,2,22,2,3,3,1,488.55,unknown_male15.jpg
6,2,23,2,1,1,1,614.1,unknown_female01.jpg
6,1,24,2,4,4,1,515.59,famous_female10.jpg
6,2,25,2,4,4,1,449.21,unknown_female13.jpg
6,1,26,1,3,3,1,462.76,famous_male03.jpg
6,2,27,2,3,3,1,548.31,unknown_male16.jpg
6,2,28,1,4,4,1,425.88,unknown_female11.jpg
6,1,29,2,2,2,1,551.42,famous_female20.jpg
6,2,30,1,4,4,1,404.95,unknown_male13.jpg
6,2,31,1,1,1,1,570.54,unknown_female14.jpg
6,2,32,2,1,1,1,416.08,unknown_male03.jpg
6,1,33,1,3,3,1,565.63,famous_female06.jpg
6,2,34,2,4,4,1,467.19,unknown_male11.jpg
6,2,35,2,1,1,1,600.74,unknown_female08.jpg
6,2,36,2,3,3,1,502.24,unknown_female17.jpg
6,1,37,2,3,3,1,459.85,famous_male17.jpg
6,1,38,1,1,1,1,489.4,famous_female16.jpg
6,2,39,2,2,2,1,398.95,unknown_male08.jpg
6,1,40,2,1,1,1,548.5,famous_male19.jpg
6,1,41,2,1,1,1,658.09,famous_female11.jpg
6,2,42,1,2,2,1,367.61,unknown_male02.jpg
6,2,43,1,1,1,1,493.18,unknown_male19.jpg
6,2,44,2,1,1,1,474.74,unknown_male05.jpg
6,1,45,2,1,1,1,552.27,famous_female18.jpg
6,1,46,2,2,2,1,301.82,famous_male07.jpg
6,2,47,1,1,1,1,683.38,unknown_female19.jpg
6,1,48,1,3,3,1,728.94,famous_male05.jpg
6,1,49,2,4,4,1,390.5,famous_male04.jpg
6,1,50,2,3,3,1,500.08,famous_male10.jpg
6,2,51,1,2,2,1,361.61,unknown_female12.jpg
6,2,52,1,4,4,1,431.14,unknown_female03.jpg
6,1,53,2,4,4,1,604.69,famous_female13.jpg
6,2,54,2,1,1,1,474.24,unknown_female15.jpg
6,2,55,2,4,4,1,503.82,unknown_female16.jpg
6,1,56,1,3,3,1,437.35,famous_female01.jpg
6,2,57,1,3,3,1,506.9,unknown_male18.jpg
6,1,58,1,2,2,1,584.44,famous_male09.jpg
6,1,59,2,3,3,1,438.02,famous_female07.jpg
6,1,60,1,4,4,1,363.55,famous_male06.jpg
6,1,61,1,1,1,1,633.15,famous_male08.jpg
6,2,62,1,2,2,1,502.72,unknown_male07.jpg
6,1,63,1,4,4,1,468.25,famous_female09.jpg
6,1,64,1,3,3,1,473.81,famous_male13.jpg
6,1,65,1,2,2,1,543.41,famous_female12.jpg
6,1,66,1,2,2,1,460.88,famous_female05.jpg
6,1,67,2,3,3,1,450.43,famous_female15.jpg
6,2,68,1,1,1,1,639.99,unknown_female10.jpg
6,2,69,1,3,3,1,541.54,unknown_female20.jpg
6,1,70,2,1,1,1,667.1,famous_male12.jpg
6,1,71,2,1,1,1,472.64,famous_female14.jpg
6,1,72,1,2,2,1,518.19,famous_male01.jpg
6,1,73,2,4,4,1,563.77,famous_female02.jpg
6,1,74,2,2,2,1,601.3,famous_male02.jpg
6,2,75,2,2,2,1,446.85,unknown_male17.jpg
6,2,76,2,2,2,1,780.4,unknown_female05.jpg
6,2,77,2,4,4,1,473.96,unknown_male04.jpg
6,2,78,2,3,3,1,567.54,unknown_male01.jpg
6,2,79,1,3,3,1,517.07,unknown_female02.jpg
6,2,80,2,2,2,1,402.62,unknown_male09.jpg
7,2,1,2,2,2,1,709.16,unknown_male20.jpg
7,1,2,2,3,3,1,818.71,famous_male10.jpg
