SID,Block,Trial,RepTime,Resp,Corr,RT,ImgName
1,1,50,3,0,0,0,unfamfemale04.jpg
1,1,51,1,0,0,0,capture020 copy.jpg
1,1,52,2,0,0,0,unfamfemale06.jpg
1,1,53,2,0,0,0,capture005 copy.jpg
1,1,54,2,0,0,0,capture002 copy.jpg
1,1,55,2,0,0,0,unfammale02.jpg
1,1,56,2,0,0,0,unfamfemale39.jpg
1,1,57,1,0,0,0,unfammale21.jpg
1,1,58,1,0,0,0,unfammale14.jpg
1,1,59,1,0,0,0,unfammale25.jpg
1,1,60,2,0,0,0,unfamfemale24.jpg
1,1,61,1,0,0,0,unfammale33.jpg
1,1,62,1,0,0,0,unfammale09.jpg
1,1,63,1,0,0,0,unfamfemale01.jpg
1,1,64,2,0,0,0,capture015 copy.jpg
1,1,65,1,0,0,0,unfamfemale38.jpg
1,1,66,1,0,0,0,unfamfemale21.jpg
1,1,67,2,0,0,0,unfamfemale15.jpg
1,1,68,2,0,0,0,unfamfemale21.jpg
1,1,69,3,0,0,0,unfamfemale20.jpg
1,1,70,1,0,0,0,unfammale23.jpg
1,1,71,2,0,0,0,capture011 copy.jpg
1,1,72,1,0,0,0,capture003 copy.jpg
1,1,73,2,0,0,0,unfammale14.jpg
1,1,74,2,0,0,0,unfamfemale40.jpg
1,1,75,3,0,0,0,unfammale02.jpg
1,1,76,2,0,0,0,unfammale23.jpg
1,1,77,2,0,0,0,unfammale25.jpg
1,1,78,2,0,0,0,unfamfemale26.jpg
1,1,79,3,0,0,0,unfamfemale40.jpg
1,1,80,2,0,0,0,unfammale05.jpg
1,1,81,2,0,0,0,unfammale35.jpg
1,1,82,2,0,0,0,capture013 copy.jpg
1,1,83,3,0,0,0,unfammale39.jpg
1,1,84,1,0,0,0,unfammale19.jpg
1,1,85,2,0,0,0,unfamfemale08.jpg
1,1,86,2,0,0,0,unfammale33.jpg
1,1,87,1,0,0,0,capture001 copy.jpg
1,1,88,3,0,0,0,unfammale23.jpg
1,1,89,2,0,0,0,capture003 copy.jpg
1,1,90,2,0,0,0,unfamfemale01.jpg
1,1,91,3,0,0,0,unfamfemale05.jpg
1,1,92,3,0,0,0,capture017 copy.jpg
1,1,93,2,0,0,0,unfammale38.jpg
1,1,94,3,0,0,0,capture021 copy.jpg
1,1,95,2,0,0,0,capture001 copy.jpg
1,1,96,3,0,0,0,unfamfemale08.jpg
1,1,97,3,0,0,0,unfammale38.jpg
1,1,98,1,0,0,0,unfammale18.jpg
1,1,99,3,0,0,0,unfamfemale01.jpg
1,1,100,2,0,0,0,unfammale18.jpg
1,1,101,3,0,0,0,capture005 copy.jpg
1,1,102,3,0,0,0,capture003 copy.jpg
1,1,103,2,0,0,0,unfammale19.jpg
1,1,104,1,0,0,0,capture010 copy.jpg
1,1,105,3,0,0,0,unfamfemale39.jpg
1,1,106,3,0,0,0,capture002 copy.jpg
1,1,107,2,0,0,0,unfamfemale37.jpg
1,1,108,2,0,0,0,capture020 copy.jpg
1,1,109,3,0,0,0,capture015 copy.jpg
1,1,110,3,2,0,399.75,unfamfemale10.jpg
1,1,111,3,0,0,0,unfammale33.jpg
1,1,112,3,0,0,0,unfammale05.jpg
1,1,113,3,0,0,0,unfammale25.jpg
1,1,114,2,0,0,0,capture012 copy.jpg
1,1,115,3,0,0,0,unfamfemale24.jpg
1,1,116,3,0,0,0,unfamfemale37.jpg
1,1,117,2,0,0,0,unfammale08.jpg
1,1,118,3,0,0,0,unfammale19.jpg
1,1,119,2,0,0,0,unfammale21.jpg
1,1,120,3,0,0,0,unfammale28.jpg
1,1,121,3,0,0,0,capture011 copy.jpg
1,1,122,3,3,1,670.68,capture020 copy.jpg
1,1,123,3,3,1,252.6,unfamfemale06.jpg
1,1,124,3,2,0,546.46,unfammale21.jpg
1,1,125,3,0,0,0,unfammale16.jpg
1,1,126,3,0,0,0,unfammale35.jpg
1,1,127,2,2,1,220.2,unfamfemale38.jpg
1,1,128,3,3,1,650.14,capture001 copy.jpg
1,1,129,2,3,0,951.94,unfammale09.jpg
1,1,130,3,3,1,661.94,unfammale08.jpg
1,1,131,3,2,0,755.86,unfammale18.jpg
1,1,132,2,1,0,849.81,capture010 copy.jpg
1,1,133,3,2,0,855.72,capture013 copy.jpg
1,1,134,3,2,0,885.63,capture010 copy.jpg
1,1,135,3,2,0,1043.51,unfammale14.jpg
1,1,136,3,1,0,529.42,unfamfemale38.jpg
1,1,137,2,3,0,807.35,unfammale12.jpg
1,1,138,3,2,0,813.26,unfamfemale21.jpg
1,1,139,3,3,1,867.18,capture016 copy.jpg
1,1,140,3,1,0,865.1,unfamfemale26.jpg
1,1,141,3,3,1,791.01,unfamfemale15.jpg
1,1,142,3,3,1,764.92,unfammale12.jpg
1,1,143,3,3,1,970.81,unfammale09.jpg
1,1,144,3,3,1,592.71,capture012 copy.jpg
1,2,1,1,1,1,920.84,unfammale05.jpg
1,2,2,1,1,1,494.77,unfammale19.jpg
1,2,3,1,1,1,492.74,capture021 copy.jpg
1,2,4,1,1,1,698.66,capture012 copy.jpg
1,2,5,1,1,1,416.5,capture003 copy.jpg
1,2,6,1,1,1,390.48,unfammale35.jpg
1,2,7,1,2,0,676.35,capture001 copy.jpg
1,2,8,1,1,1,778.29,unfamfemale37.jpg
1,2,9,1,1,1,656.14,capture011 copy.jpg
1,2,10,1,1,1,782.13,unfamfemale39.jpg
1,2,11,1,1,1,644.04,unfamfemale10.jpg
1,2,12,1,1,1,785.91,unfammale08.jpg
1,2,13,1,1,1,807.86,unfammale02.jpg
1,2,14,1,2,0,773.75,unfamfemale17.jpg
1,2,15,1,2,0,819.63,unfammale16.jpg
1,2,16,2,3,0,913.6,capture012 copy.jpg
1,2,17,1,2,0,1087.45,unfamfemale38.jpg
1,2,18,1,1,1,509.42,unfammale21.jpg
1,2,19,1,1,1,939.28,capture020 copy.jpg
1,2,20,2,2,1,673.18,capture011 copy.jpg
1,2,21,2,2,1,831.09,capture021 copy.jpg
1,2,22,1,2,0,757.06,unfamfemale04.jpg
1,2,23,1,1,1,666.9,unfamfemale08.jpg
1,2,24,2,1,0,848.84,unfammale05.jpg
1,2,25,1,2,0,782.75,unfammale12.jpg
