SID,Familiarity,RepTime,Trial,ImgCat,Resp,Corr,RT,ImgName
1,2,4,13,1,1,1,543.23,unknown_male05.jpg
1,2,4,14,1,1,1,407.24,unknown_male19.jpg
1,2,4,15,1,1,1,439.23,unknown_male18.jpg
1,1,4,16,1,1,1,390.82,famous_male20.jpg
1,1,4,17,2,2,1,543.2,famous_female13.jpg
1,1,4,18,2,2,1,518.79,famous_female16.jpg
1,2,4,19,2,2,1,511.18,unknown_female20.jpg
1,2,4,20,2,2,1,415.15,unknown_female07.jpg
1,1,4,21,2,2,1,407.17,famous_female12.jpg
1,2,4,22,2,2,1,447.13,unknown_female06.jpg
1,2,4,23,2,2,1,366.73,unknown_female19.jpg
1,2,4,24,1,1,1,550.6,unknown_male11.jpg
1,2,4,25,1,1,1,366.72,unknown_male04.jpg
1,2,4,26,2,2,1,470.21,unknown_female15.jpg
1,1,4,27,1,1,1,471.08,famous_male06.jpg
1,2,4,28,1,1,1,446.65,unknown_male14.jpg
1,2,4,29,1,1,1,414.65,unknown_male08.jpg
1,2,4,30,1,1,1,382.64,unknown_male06.jpg
1,1,4,31,1,1,1,463.01,famous_male18.jpg
1,1,4,32,2,2,1,511,famous_female03.jpg
1,2,4,33,2,2,1,534.99,unknown_female14.jpg
1,2,4,34,1,1,1,566.11,unknown_male17.jpg
1,2,4,35,2,2,1,750.59,unknown_female09.jpg
1,1,4,36,1,1,1,486.56,famous_male13.jpg
1,2,4,37,1,1,1,486.54,unknown_male01.jpg
1,2,4,38,2,2,1,526.05,unknown_female02.jpg
1,1,4,39,1,1,1,542.9,famous_male01.jpg
1,1,4,40,2,2,1,502.89,famous_female20.jpg
1,1,5,1,2,2,1,500.62,famous_female20.jpg
1,1,5,2,2,2,1,412.58,famous_female10.jpg
1,1,5,3,1,1,1,524.17,famous_male06.jpg
1,2,5,4,1,1,1,412.13,unknown_male14.jpg
1,2,5,5,2,2,1,420.17,unknown_female19.jpg
1,2,5,6,1,1,1,412.53,unknown_male18.jpg
1,2,5,7,2,2,1,444.51,unknown_female04.jpg
1,1,5,8,1,1,1,412.5,famous_male14.jpg
1,2,5,9,2,2,1,619.62,unknown_female06.jpg
1,1,5,10,1,1,1,404.48,famous_male18.jpg
1,1,5,11,2,2,1,428.51,famous_female09.jpg
1,2,5,12,1,1,1,420.46,unknown_male04.jpg
1,2,5,13,1,1,1,523.21,unknown_male19.jpg
1,2,5,14,2,2,1,460.41,unknown_female14.jpg
1,1,5,15,1,1,1,476.41,famous_male01.jpg
1,1,5,16,2,2,1,491.99,famous_female12.jpg
1,2,5,17,2,2,1,540.37,unknown_female07.jpg
1,1,5,18,1,1,1,411.51,famous_male20.jpg
1,1,5,19,1,1,1,467.13,famous_male11.jpg
1,1,5,20,1,1,1,628.34,famous_male13.jpg
1,2,5,21,1,1,1,323.92,unknown_male05.jpg
1,2,5,22,2,2,1,595.44,unknown_female02.jpg
1,1,5,23,1,1,1,363.45,famous_male03.jpg
1,1,5,24,2,2,1,492.28,famous_female04.jpg
1,2,5,25,2,2,1,460.28,unknown_female05.jpg
1,1,5,26,2,2,1,499.78,famous_female03.jpg
1,2,5,27,1,1,1,476.25,unknown_male17.jpg
1,1,5,28,2,2,1,651.83,famous_female01.jpg
1,2,5,29,2,2,1,452.24,unknown_female20.jpg
1,1,5,30,1,1,1,499.3,famous_male12.jpg
1,2,5,31,1,1,1,395.78,unknown_male01.jpg
1,2,5,32,2,2,1,411.77,unknown_female09.jpg
1,1,5,33,2,2,1,484.18,famous_female16.jpg
1,1,5,34,2,2,1,499.75,famous_female05.jpg
1,1,5,35,1,1,1,580.15,famous_male10.jpg
1,2,5,36,1,1,1,507.72,unknown_male08.jpg
1,2,5,37,1,1,1,516.12,unknown_male06.jpg
1,2,5,38,1,1,1,532.09,unknown_male11.jpg
1,1,5,39,2,2,1,540.09,famous_female13.jpg
1,2,5,40,2,2,1,515.68,unknown_female15.jpg
1,1,6,1,1,1,1,323.45,famous_male03.jpg
1,1,6,2,2,2,1,378.7,famous_female05.jpg
1,2,6,3,1,1,1,346.97,unknown_male05.jpg
1,2,6,4,2,2,1,474.95,unknown_female09.jpg
1,1,6,5,2,2,1,371.34,famous_female20.jpg
1,2,6,6,1,1,1,346.96,unknown_male18.jpg
1,1,6,7,1,1,1,371.32,famous_male11.jpg
1,2,6,8,2,2,1,498.9,unknown_female14.jpg
1,2,6,9,1,1,1,563.29,unknown_male11.jpg
1,2,6,10,2,2,1,459.28,unknown_female02.jpg
1,1,6,11,1,1,1,395.31,famous_male10.jpg
1,1,6,12,1,1,1,490.74,famous_male14.jpg
1,2,6,13,1,1,1,378.84,unknown_male06.jpg
1,2,6,14,1,1,1,418.83,unknown_male04.jpg
1,2,6,15,2,2,1,451.19,unknown_female04.jpg
1,1,6,16,2,2,1,539.18,famous_female12.jpg
1,2,6,17,2,2,1,434.81,unknown_female06.jpg
1,1,6,18,1,1,1,498.78,famous_male20.jpg
1,2,6,19,2,2,1,434.74,unknown_female20.jpg
1,2,6,20,1,1,1,571.15,unknown_male17.jpg
1,2,6,21,2,2,1,411.23,unknown_female05.jpg
1,1,6,22,1,1,1,378.72,famous_male13.jpg
1,2,6,23,1,1,1,547.11,unknown_male08.jpg
1,2,6,24,1,1,1,514.72,unknown_male01.jpg
1,1,6,25,1,1,1,410.7,famous_male06.jpg
1,1,6,26,2,2,1,410.95,famous_female13.jpg
1,1,6,27,2,2,1,763.05,famous_female04.jpg
1,1,6,28,2,2,1,667.11,famous_female10.jpg
1,1,6,29,1,1,1,555.09,famous_male18.jpg
1,2,6,30,2,2,1,579.01,unknown_female19.jpg
1,1,6,31,1,1,1,499.14,famous_male12.jpg
1,1,6,32,2,2,1,730.98,famous_female01.jpg
1,2,6,33,1,1,1,738.96,unknown_male14.jpg
1,1,6,34,2,2,1,562.56,famous_female09.jpg
1,1,6,35,2,2,1,562.94,famous_female16.jpg
1,2,6,36,1,1,1,522.93,unknown_male19.jpg
1,1,6,37,2,2,1,530.91,famous_female03.jpg
1,2,6,38,2,2,1,922.96,unknown_female07.jpg
