SID,Familiarity,Trial,Repetition,ImgCat,Loc,Resp,Corr,RT,ImgName
44,1,24,2,1,2,2,1,427.21,famous_male02.jpg
44,1,25,1,1,2,2,1,487.29,famous_male23.jpg
44,1,26,2,2,2,2,1,1875.35,famous_female02.jpg
44,1,27,2,2,1,1,1,567.44,famous_female01.jpg
44,1,28,2,2,4,4,1,595.55,famous_female19.jpg
44,1,29,1,2,4,4,1,991.66,famous_female23.jpg
44,1,30,1,1,1,0,0,0,famous_male24.jpg
44,1,31,2,1,3,3,1,623.83,famous_male03.jpg
44,1,32,2,1,3,3,1,467.9,famous_male08.jpg
44,1,33,2,2,1,1,1,527.97,famous_female15.jpg
44,1,34,2,1,4,4,1,484.12,famous_male04.jpg
44,1,35,1,2,4,4,1,584.18,famous_female08.jpg
44,1,36,1,1,2,2,1,572.25,famous_male01.jpg
44,1,37,1,1,3,3,1,528.33,famous_male15.jpg
44,1,38,1,2,2,2,1,492.38,famous_female12.jpg
44,1,39,2,2,2,2,1,1626.21,famous_female24.jpg
44,1,40,2,2,1,1,1,430.31,famous_female06.jpg
44,1,41,1,2,1,1,1,466.4,famous_female16.jpg
44,1,42,1,1,3,3,1,558.48,famous_male10.jpg
44,1,43,1,2,4,4,1,498.58,famous_female22.jpg
44,1,44,2,2,3,3,1,862.68,famous_female20.jpg
44,1,45,1,1,3,3,1,1418.77,famous_male22.jpg
44,1,46,2,2,3,3,1,654.84,famous_female18.jpg
44,1,47,2,1,4,4,1,548.59,famous_male06.jpg
44,1,48,1,2,3,3,1,632.72,famous_female04.jpg
45,2,1,1,2,3,3,1,2918.86,unknown_female17.jpg
45,2,2,2,2,1,1,1,1562.93,unknown_female18.jpg
45,2,3,2,2,3,3,1,1239.02,unknown_female19.jpg
45,2,4,1,2,4,4,1,1227.12,unknown_female12.jpg
45,2,5,2,2,2,2,1,1279.19,unknown_female08.jpg
45,2,6,2,1,3,3,1,1099.29,unknown_male09.jpg
45,2,7,1,1,1,1,1,1223.33,unknown_male01.jpg
45,2,8,1,2,1,1,1,1395.39,unknown_female14.jpg
45,2,9,2,1,2,2,1,935.49,unknown_male24.jpg
45,2,10,2,1,2,2,1,1131.64,unknown_male21.jpg
45,2,11,1,2,4,4,1,1079.73,unknown_female24.jpg
45,2,12,1,2,1,1,1,1083.8,unknown_female13.jpg
45,2,13,1,1,3,3,1,1119.84,unknown_male08.jpg
45,2,14,2,1,1,1,1,820,unknown_male18.jpg
45,2,15,1,2,2,2,1,848.07,unknown_female07.jpg
45,2,16,1,1,1,1,1,988.16,unknown_male03.jpg
45,2,17,2,2,1,1,1,936.24,unknown_female22.jpg
45,2,18,2,1,4,4,1,804.33,unknown_male14.jpg
45,2,19,2,2,4,4,1,880.43,unknown_female23.jpg
45,2,20,1,2,1,1,1,668.51,unknown_female03.jpg
45,2,21,1,1,3,3,1,1104.59,unknown_male22.jpg
45,2,22,2,2,4,4,1,1164.7,unknown_female10.jpg
45,2,23,1,2,2,2,1,968.7,unknown_female02.jpg
45,2,24,1,2,2,2,1,908.85,unknown_female06.jpg
45,2,25,1,1,2,2,1,1024.94,unknown_male17.jpg
45,2,26,2,1,2,2,1,1141.02,unknown_male20.jpg
45,2,27,2,2,4,4,1,1321.11,unknown_female11.jpg
45,2,28,1,2,3,3,1,973.17,unknown_female15.jpg
45,2,29,2,1,3,3,1,945.26,unknown_male11.jpg
45,2,30,2,1,1,1,1,1093.36,unknown_male23.jpg
