SID,RepTime,Trial,Resp,Corr,RT,ImgName
2,3,7,2,1,682.25,nonwex2_11.png
2,3,8,2,1,942.49,nonwin9.png
2,3,9,2,1,698.77,nonwin2_7.png
2,3,10,2,1,695,nonwex2_9.png
2,3,11,1,1,787.24,nonwin11.png
2,3,12,1,1,815.46,nonwex2_12.png
2,3,13,1,1,779.64,nonwin2_11.png
2,3,14,1,1,815.9,nonwex7.png
2,3,15,1,1,812.15,nonwin2_12.png
2,3,16,1,1,728.35,nonwex5.png
2,3,17,1,1,796.59,nonwex10.png
2,3,18,1,1,944.81,nonwin4.png
2,3,19,1,1,885.07,nonwin2.png
2,3,20,1,1,897.31,nonwex2_8.png
2,3,21,1,1,781.51,nonwin6.png
2,3,22,2,1,697.28,nonwex8.png
2,3,23,1,1,750,nonwin1.png
2,3,24,1,1,682.18,nonwex9.png
2,4,1,1,1,798.9,nonwin11.png
2,4,2,2,1,771.13,nonwex2_3.png
2,4,3,2,1,615.41,nonwin2_7.png
2,4,4,1,1,691.65,nonwin9.png
2,4,5,1,1,719.86,nonwex2_1.png
2,4,6,1,1,780.07,nonwex7.png
2,4,7,1,1,768.32,nonwin1.png
2,4,8,1,1,700.58,nonwin2.png
2,4,9,1,1,600.8,nonwin2_6.png
2,4,10,1,1,637.01,nonwex3.png
2,4,11,2,1,673.23,nonwex2_9.png
2,4,12,2,1,637.45,nonwex2_11.png
2,4,13,1,1,777.71,nonwex2_12.png
2,4,14,1,1,845.96,nonwin2_12.png
2,4,15,2,1,962.15,nonwex8.png
2,4,16,1,1,534.38,nonwin6.png
2,4,17,1,1,698.57,nonwex2_8.png
2,4,18,1,1,774.88,nonwex2_5.png
2,4,19,1,1,739.08,nonwin4.png
2,4,20,1,1,775.3,nonwin2_11.png
2,4,21,1,1,787.51,nonwex10.png
2,4,22,1,1,679.78,nonwex9.png
2,4,23,1,1,651.98,nonwex5.png
2,4,24,1,1,752.23,nonwex2.png
2,5,1,2,1,563.87,nonwex2_11.png
2,5,2,2,1,664.09,nonwex2_9.png
2,5,3,2,1,596.32,nonwin2_7.png
2,5,4,1,1,680.58,nonwex2_1.png
2,5,5,1,1,668.81,nonwex5.png
2,5,6,1,1,809.01,nonwex2.png
2,5,7,1,1,757.27,nonwex10.png
2,5,8,1,1,817.47,nonwin2_12.png
2,5,9,1,1,829.71,nonwin2_6.png
2,5,10,1,1,657.95,nonwex3.png
2,5,11,1,1,662.18,nonwex2_8.png
2,5,12,1,1,674.42,nonwin4.png
2,5,13,1,1,774.65,nonwin1.png
2,5,14,1,1,594.87,nonwin2.png
2,5,15,1,1,751.09,nonwin2_11.png
2,5,16,2,1,675.34,nonwex7.png
2,5,17,2,1,695.52,nonwex2_3.png
2,5,18,1,1,595.75,nonwex2_5.png
2,5,19,2,1,720.01,nonwex8.png
2,5,20,1,1,716.26,nonwin11.png
2,5,21,1,1,664.49,nonwex9.png
2,5,22,1,1,604.68,nonwin6.png
2,5,23,1,1,768.91,nonwin9.png
2,5,24,1,1,717.13,nonwex2_12.png
2,6,1,0,0,0,nonwex2_8.png
2,6,2,1,1,787.8,nonwin4.png
2,6,3,1,1,879.99,nonwin11.png
2,6,4,1,1,756.26,nonwex2_5.png
2,6,5,1,1,704.49,nonwin6.png
2,6,6,1,1,676.66,nonwin2_11.png
2,6,7,1,1,864.91,nonwin9.png
2,6,8,2,1,581.14,nonwex8.png
2,6,9,1,1,625.42,nonwex5.png
2,6,10,2,1,709.64,nonwex2_9.png
2,6,11,1,1,577.86,nonwex3.png
2,6,12,2,1,678.08,nonwex7.png
2,6,13,2,1,610.32,nonwex2_3.png
2,6,14,2,1,614.56,nonwex2.png
2,6,15,2,1,594.77,nonwex2_11.png
2,6,16,1,1,663.03,nonwex2_12.png
2,6,17,1,1,699.19,nonwin2.png
2,6,18,1,1,623.49,nonwex2_1.png
2,6,19,1,1,579.7,nonwin2_6.png
2,6,20,2,1,639.88,nonwin2_7.png
2,6,21,1,1,620.17,nonwex9.png
