SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
5,33,2,1,1,1,1,996.34,4,unknown_female19.jpg
5,34,1,2,3,3,1,1507.54,4,famous_male03.jpg
5,35,2,1,4,2,0,2415.24,2,unknown_male07.jpg
5,36,2,2,1,1,1,3339.55,1,unknown_female16.jpg
5,37,1,2,3,3,1,819.69,4,famous_male14.jpg
5,38,1,2,1,1,1,872.41,4,famous_female11.jpg
5,39,2,2,1,1,1,2099.82,2,unknown_male15.jpg
5,40,1,2,2,2,1,1299.71,1,famous_male10.jpg
5,41,2,1,1,1,1,1194.44,4,unknown_female20.jpg
5,42,2,2,3,2,0,2095.2,1,unknown_female17.jpg
5,43,1,1,2,2,1,1515.78,4,famous_female07.jpg
5,44,2,1,3,1,0,2298.55,2,unknown_male11.jpg
5,45,1,2,3,2,0,1697.1,1,famous_female02.jpg
5,46,1,1,4,4,1,2317.27,3,famous_female06.jpg
5,47,2,1,2,2,1,3634.08,3,unknown_female02.jpg
5,48,2,1,4,1,0,2035.03,3,unknown_female10.jpg
5,49,1,1,4,1,0,3148.86,2,famous_male16.jpg
5,50,1,1,2,2,1,1235.22,2,famous_male04.jpg
5,51,1,1,3,3,1,4388.72,4,famous_female19.jpg
5,52,1,1,4,4,1,1882.99,4,famous_male01.jpg
5,53,2,2,3,2,0,2719.29,4,unknown_male08.jpg
5,54,2,2,1,1,1,1772.72,4,unknown_male20.jpg
5,55,2,2,3,2,0,4119.31,1,unknown_male16.jpg
5,56,2,2,2,4,0,2367.61,2,unknown_male17.jpg
5,57,2,1,4,2,0,1831.78,1,unknown_female05.jpg
5,58,1,2,4,4,1,1143.85,4,famous_male19.jpg
5,59,1,2,2,2,1,1712.05,4,famous_female01.jpg
5,60,2,1,1,2,0,2629.39,1,unknown_male03.jpg
5,61,1,2,3,2,0,950.01,1,famous_female20.jpg
5,62,2,1,1,1,1,1028.13,1,unknown_male05.jpg
5,63,2,1,3,1,0,1329.04,1,unknown_male02.jpg
5,64,2,1,2,1,0,2319.57,1,unknown_male04.jpg
5,65,1,2,4,4,1,4906.41,2,famous_female17.jpg
5,66,1,2,2,2,1,1616.75,4,famous_female03.jpg
5,67,1,1,2,2,1,1550.07,4,famous_female04.jpg
5,68,1,1,1,1,1,3451.8,3,famous_female10.jpg
5,69,1,1,1,2,0,1792.63,1,famous_male02.jpg
5,70,2,1,2,2,1,824,1,unknown_male01.jpg
5,71,2,1,1,4,0,1909.87,2,unknown_female13.jpg
5,72,2,2,2,2,1,1709.25,1,unknown_female09.jpg
5,73,2,2,4,2,0,839.11,1,unknown_female08.jpg
5,74,1,2,2,1,0,3785.96,1,famous_male15.jpg
5,75,2,1,3,1,0,3461.11,2,unknown_male13.jpg
