SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
4,4,1,2,3,0,3369.15,2,unfamfemale37.jpg
4,5,2,1,4,0,2792.99,1,unfammale18.jpg
4,6,2,4,2,0,925.51,3,unfamfemale03.jpg
4,7,2,4,3,0,2369.6,3,unfammale21.jpg
4,8,2,1,1,1,3845.99,2,unfammale05.jpg
4,9,2,3,3,1,3053.9,4,unfammale19.jpg
4,10,1,2,2,1,1396.92,2,unfamfemale21.jpg
4,11,2,2,2,1,1918.45,4,unfamfemale39.jpg
4,12,1,3,3,1,1968.59,4,unfamfemale10.jpg
4,13,1,1,3,0,2335.32,4,capture021 copy.jpg
4,14,2,4,4,1,1038.13,4,unfamfemale24.jpg
4,15,2,4,4,1,927.01,4,unfammale25.jpg
4,16,1,2,4,0,1042.62,3,unfammale35.jpg
4,17,1,4,3,0,1443.69,4,capture003 copy.jpg
4,18,2,1,1,1,2869.12,4,capture010 copy.jpg
4,19,1,1,4,0,1164.13,3,unfammale09.jpg
4,20,2,3,3,1,866.73,3,capture001 copy.jpg
4,21,2,3,3,1,761.09,4,unfamfemale15.jpg
4,22,1,3,3,1,1017.9,4,unfammale12.jpg
4,23,1,3,3,1,658.84,4,capture013 copy.jpg
4,24,1,3,2,0,2110.3,2,capture011 copy.jpg
4,25,1,2,2,1,775.69,2,unfamfemale40.jpg
4,26,2,3,3,1,2984.59,2,unfammale23.jpg
4,27,2,2,2,1,770.39,4,unfammale08.jpg
4,28,1,4,4,1,1182.51,3,unfamfemale17.jpg
4,29,2,3,3,1,882.13,4,unfamfemale38.jpg
4,30,2,1,3,0,830.06,4,unfamfemale05.jpg
4,31,1,3,2,0,3599.06,4,capture015 copy.jpg
4,32,2,4,1,0,910.64,2,unfammale02.jpg
4,33,2,2,2,1,2079.67,4,capture002 copy.jpg
4,34,2,1,1,1,1304.99,4,capture017 copy.jpg
4,35,1,4,4,1,3663.38,4,capture012 copy.jpg
4,36,1,1,1,1,945.38,3,capture020 copy.jpg
4,37,2,2,2,1,1052.98,2,unfammale14.jpg
4,38,1,2,2,1,1043.35,2,unfammale16.jpg
4,39,2,4,3,0,1468.17,4,unfamfemale06.jpg
4,40,2,3,1,0,1386.73,1,unfammale38.jpg
4,41,1,2,3,0,1510.32,1,capture016 copy.jpg
4,42,2,1,3,0,1183.84,2,unfamfemale26.jpg
4,43,2,2,1,0,1203.89,1,unfamfemale20.jpg
4,44,1,4,1,0,666.19,1,unfammale28.jpg
4,45,1,3,3,1,4069.79,4,unfamfemale08.jpg
4,46,1,1,2,0,1821.33,3,unfamfemale04.jpg
4,47,1,1,1,1,1921.22,4,unfamfemale01.jpg
4,48,1,4,4,1,1269.09,4,unfamfemale32.jpg
5,1,1,4,2,0,43617.49,1,capture015 copy.jpg
5,2,1,3,4,0,4368.07,1,unfamfemale37.jpg
5,3,2,2,2,1,1402.78,2,capture001 copy.jpg
5,4,2,3,3,1,2878.57,3,capture020 copy.jpg
5,5,2,1,1,1,2341.66,1,unfammale12.jpg
5,6,2,2,2,1,1953.87,2,capture013 copy.jpg
5,7,2,2,2,1,3406.04,3,unfamfemale20.jpg
5,8,1,3,2,0,1354.62,4,capture010 copy.jpg
5,9,2,3,3,1,3702.71,2,unfamfemale03.jpg
5,10,1,2,4,0,1593.15,3,unfamfemale32.jpg
5,11,1,3,1,0,1416.44,4,unfamfemale21.jpg
5,12,2,4,2,0,1436.63,3,unfammale35.jpg
5,13,1,2,1,0,1400.57,3,unfammale39.jpg
5,14,1,2,2,1,2311.05,3,unfamfemale08.jpg
