SID,Block,Trial,RepTime,Resp,Corr,RT,ImgName
1,1,56,2,1,0,541.78,nonwin2_1.png
1,1,57,1,1,1,763.6,nonwex2_11.png
1,1,58,1,1,1,721.27,nonwex2_3.png
1,1,59,2,2,1,807.42,nonwex2_9.png
1,1,60,3,3,1,895.92,nonwex2_4.png
1,1,61,1,1,1,829.79,nonwin2_8.png
1,1,62,2,2,1,947.71,nonwex12.png
1,1,63,2,2,1,969.59,nonwin2_8.png
1,1,64,1,1,1,746.07,nonwin2_2.png
1,1,65,2,2,1,1000.01,nonwin2_11.png
1,1,66,2,2,1,941.89,nonwin3.png
1,1,67,3,2,0,1003.74,nonwin2_1.png
1,1,68,1,1,1,785.6,nonwex10.png
1,1,69,2,1,0,911.46,nonwin2.png
1,1,70,1,3,0,677.3,nonwin2_4.png
1,1,71,2,3,0,691.24,nonwex8.png
1,1,72,2,2,1,817.07,nonwex2_3.png
1,1,73,2,2,1,910.95,nonwin2_3.png
1,1,74,3,3,1,812.88,nonwin3.png
1,1,75,3,3,1,714.73,nonwex2_10.png
1,1,76,1,1,1,851.24,nonwex1.png
1,1,77,3,3,1,689.14,nonwin2.png
1,1,78,2,2,1,919.05,nonwex7.png
1,1,79,3,3,1,804.92,nonwin8.png
1,1,80,1,2,0,738.79,nonwin11.png
1,1,81,2,1,0,760.66,nonwin7.png
1,1,82,3,3,1,665.19,nonwex2_9.png
1,1,83,1,2,0,815.03,nonwin2_10.png
1,1,84,2,3,0,804.94,nonwin2_6.png
1,1,85,2,2,1,658.77,nonwin11.png
1,1,86,2,2,1,584.64,nonwex2_2.png
1,1,87,1,2,0,598.57,nonwex3.png
1,1,88,2,1,0,812.45,nonwex2_7.png
1,1,89,3,3,1,842.27,nonwex2_2.png
1,1,90,2,3,0,744.16,nonwin2_4.png
1,1,91,3,2,0,766.06,nonwex2_8.png
1,1,92,3,3,1,635.93,nonwex11.png
1,1,93,2,2,1,969.79,nonwin2_7.png
1,1,94,3,2,0,927.67,nonwex7.png
1,1,95,2,2,1,613.57,nonwin2_5.png
1,1,96,3,3,1,779.45,nonwin7.png
1,1,97,3,2,0,841.31,nonwex2_3.png
1,1,98,2,2,1,967.18,nonwex3.png
1,1,99,3,2,0,781.07,nonwin2_8.png
1,1,100,2,2,1,802.9,nonwin6.png
1,1,101,2,3,0,904.77,nonwex10.png
1,1,102,2,2,1,846.7,nonwin2_9.png
1,1,103,2,3,0,828.57,nonwin2_10.png
1,1,104,3,3,1,826.44,nonwex3.png
1,1,105,3,3,1,712.25,nonwin2_7.png
1,1,106,2,3,0,670.16,nonwex2_11.png
1,1,107,3,3,1,804.06,nonwex12.png
1,1,108,3,3,1,689.89,nonwex10.png
1,1,109,2,3,0,799.77,nonwin1.png
1,1,110,2,2,1,909.69,nonwex2_1.png
1,1,111,3,3,1,811.52,nonwin2_6.png
1,1,112,2,2,1,1001.45,nonwex6.png
1,1,113,3,3,1,815.25,nonwin2_3.png
1,1,114,2,2,1,877.16,nonwex4.png
1,1,115,3,2,0,981.75,nonwex2_11.png
1,1,116,3,3,1,611.52,nonwex8.png
1,1,117,3,3,1,537.46,nonwex6.png
1,1,118,3,3,1,583.34,nonwex4.png
1,1,119,3,3,1,573.21,nonwin2_11.png
1,1,120,3,2,0,707.09,nonwin6.png
1,1,121,3,3,1,288.93,nonwin2_12.png
1,1,122,3,3,1,870.84,nonwin2_9.png
1,1,123,2,3,0,644.71,nonwin2_2.png
1,1,124,3,2,0,690.55,nonwin2_2.png
1,1,125,2,2,1,896.41,nonwex2_12.png
1,1,126,3,3,1,774.32,nonwin10.png
1,1,127,3,2,0,748.17,nonwex2.png
1,1,128,2,2,1,778.07,nonwex1.png
1,1,129,3,2,0,567.92,nonwin5.png
1,1,130,3,2,0,797.79,nonwex9.png
1,1,131,3,3,1,691.69,nonwex1.png
1,1,132,3,2,0,729.54,nonwin2_5.png
1,1,133,2,3,0,895.45,nonwin9.png
1,1,134,3,2,0,829.31,nonwex2_1.png
1,1,135,2,2,1,651.15,nonwin12.png
1,1,136,3,3,1,515.73,nonwin9.png
1,1,137,3,3,1,737.61,nonwin2_4.png
1,1,138,3,3,1,527.44,nonwin1.png
1,1,139,3,3,1,573.28,nonwex2_7.png
1,1,140,3,3,1,379.18,nonwin11.png
1,1,141,3,3,1,337.04,nonwex5.png
1,1,142,3,3,1,502.92,nonwex2_12.png
1,1,143,3,2,0,812.83,nonwin12.png
1,1,144,3,3,1,322.66,nonwin2_10.png
1,2,1,1,1,1,709.14,nonwin1.png
1,2,2,1,1,1,475,nonwex2_4.png
1,2,3,1,1,1,432.87,nonwex10.png
1,2,4,1,1,1,406.8,nonwex8.png
1,2,5,1,1,1,364.65,nonwin2_3.png
1,2,6,1,1,1,338.54,nonwex2_11.png
1,2,7,1,1,1,344.41,nonwin2_4.png
1,2,8,1,1,1,542.25,nonwex5.png
1,2,9,1,1,1,620.17,nonwex1.png
1,2,10,1,1,1,466,nonwex2_6.png
1,2,11,1,1,1,327.9,nonwex12.png
1,2,12,1,1,1,309.77,nonwex2_5.png
1,2,13,1,1,1,323.65,nonwex11.png
1,2,14,1,1,1,425.47,nonwex2_9.png
1,2,15,1,1,1,359.35,nonwex2_1.png
1,2,16,1,1,1,317.24,nonwex6.png
1,2,17,1,1,1,443.14,nonwin8.png
1,2,18,2,2,1,512.97,nonwex2_9.png
1,2,19,1,1,1,574.87,nonwex2_8.png
1,2,20,1,1,1,652.77,nonwin11.png
1,2,21,2,1,0,514.62,nonwex8.png
1,2,22,1,1,1,568.51,nonwex2_12.png
1,2,23,1,1,1,542.38,nonwin10.png
1,2,24,1,1,1,532.2,nonwin2_6.png
1,2,25,2,2,1,658.07,nonwin8.png
1,2,26,2,1,0,671.96,nonwin1.png
1,2,27,1,1,1,869.89,nonwex4.png
1,2,28,2,2,1,779.71,nonwex2_12.png
1,2,29,1,1,1,833.63,nonwin2.png
1,2,30,2,1,0,831.46,nonwin10.png
1,2,31,1,1,1,621.35,nonwex7.png
1,2,32,1,2,0,611.23,nonwin2_11.png
1,2,33,1,1,1,1073.14,nonwin3.png
1,2,34,2,2,1,550.97,nonwex2_8.png
1,2,35,3,2,0,500.84,nonwex2_8.png
1,2,36,2,1,0,1114.7,nonwex7.png
1,2,37,1,1,1,640.59,nonwin5.png
1,2,38,2,2,1,606.42,nonwex2_6.png
1,2,39,2,1,0,500.32,nonwex6.png
1,2,40,1,2,0,618.21,nonwex2.png
1,2,41,2,1,0,768.07,nonwex2_11.png
1,2,42,2,2,1,701.9,nonwex12.png
1,2,43,2,3,0,795.83,nonwex4.png
1,2,44,3,3,1,721.7,nonwex2_12.png
1,2,45,1,2,0,663.51,nonwin2_2.png
1,2,46,1,1,1,557.39,nonwin2_9.png
1,2,47,1,1,1,819.32,nonwin2_8.png
1,2,48,1,2,0,593.18,nonwin2_10.png
1,2,49,1,1,1,471,nonwex3.png
1,2,50,1,1,1,500.92,nonwin2_12.png
1,2,51,1,2,0,554.77,nonwin9.png
1,2,52,1,1,1,672.61,nonwex2_7.png
1,2,53,1,1,1,614.54,nonwex2_10.png
1,2,54,1,1,1,540.41,nonwin4.png
1,2,55,1,2,0,746.23,nonwin7.png
1,2,56,3,2,0,744.16,nonwin10.png
1,2,57,2,2,1,621.97,nonwex11.png
1,2,58,1,1,1,795.91,nonwin6.png
1,2,59,2,2,1,793.77,nonwin2_9.png
1,2,60,2,2,1,783.58,nonwin2_3.png
1,2,61,2,2,1,709.51,nonwex2.png
1,2,62,2,2,1,787.38,nonwin2_6.png
1,2,63,2,2,1,561.21,nonwex2_10.png
1,2,64,2,2,1,487.12,nonwex2_7.png
1,2,65,3,2,0,516.97,nonwex2_10.png
1,2,66,2,2,1,498.86,nonwex2_4.png
1,2,67,2,2,1,672.75,nonwin6.png
1,2,68,1,1,1,753.11,nonwin2_1.png
1,2,69,2,2,1,527.13,nonwin2_12.png
1,2,70,2,1,0,756.99,nonwex5.png
1,2,71,1,3,0,610.9,nonwin12.png
1,2,72,2,2,1,800.75,nonwex2_5.png
1,2,73,3,2,0,582.58,nonwex6.png
1,2,74,1,3,0,420.5,nonwin2_7.png
1,2,75,2,2,1,506.38,nonwin7.png
1,2,76,3,2,0,672.25,nonwin1.png
1,2,77,1,1,1,590.13,nonwex2_2.png
1,2,78,2,2,1,572,nonwin12.png
1,2,79,1,3,0,913.83,nonwex2_3.png
1,2,80,3,3,1,559.75,nonwex2_9.png
1,2,81,3,3,1,653.62,nonwin2_3.png
1,2,82,3,3,1,899.28,nonwex2_4.png
1,2,83,3,3,1,665.31,nonwex7.png
1,2,84,2,3,0,815.24,nonwin2_10.png
1,2,85,2,2,1,565.1,nonwex2_3.png
1,2,86,3,3,1,722.95,nonwin2_10.png
1,2,87,2,3,0,672.86,nonwin3.png
1,2,88,2,3,0,606.72,nonwex1.png
1,2,89,2,2,1,796.56,nonwin2_1.png
1,2,90,3,2,0,642.47,nonwin2_12.png
1,2,91,3,2,0,520.31,nonwin2_1.png
1,2,92,2,2,1,862.23,nonwex2_1.png
1,2,93,2,2,1,870.74,nonwex3.png
1,2,94,2,2,1,772.64,nonwex2_2.png
1,2,95,3,3,1,834.52,nonwex4.png
1,2,96,2,3,0,824.37,nonwin2_11.png
1,2,97,3,3,1,878.26,nonwex2_3.png
1,2,98,2,3,0,764.13,nonwin5.png
1,2,99,3,3,1,652.62,nonwex2_11.png
1,2,100,3,3,1,490.53,nonwin3.png
1,2,101,2,2,1,688.37,nonwin2_8.png
1,2,102,2,2,1,830.29,nonwin2_7.png
1,2,103,1,3,0,708.13,nonwex9.png
1,2,104,2,2,1,946.03,nonwin11.png
1,2,105,2,3,0,879.69,nonwin2.png
1,2,106,2,3,0,941.74,nonwin9.png
1,2,107,2,3,0,547.58,nonwin4.png
1,2,108,2,3,0,657.51,nonwin2_4.png
1,2,109,3,2,0,671.35,nonwin2_6.png
1,2,110,3,3,1,573.23,nonwex12.png
1,2,111,2,3,0,451.09,nonwex9.png
1,2,112,3,3,1,617,nonwin7.png
1,2,113,3,2,0,566.86,nonwex9.png
1,2,114,1,3,0,292.72,nonwin2_5.png
1,2,115,3,3,1,666.59,nonwex2_7.png
1,2,116,3,2,0,736.5,nonwin2_7.png
1,2,117,3,3,1,646.33,nonwex11.png
1,2,118,3,3,1,564.23,nonwin2_11.png
1,2,119,2,2,1,706.11,nonwin2_2.png
1,2,120,3,3,1,615.98,nonwex1.png
1,2,121,3,2,0,709.86,nonwex3.png
1,2,122,3,3,1,827.69,nonwin6.png
1,2,123,2,3,0,649.6,nonwex10.png
1,2,124,3,3,1,615.42,nonwex5.png
1,2,125,3,3,1,605.34,nonwex2_1.png
1,2,126,3,3,1,587.18,nonwex8.png
1,2,127,3,2,0,505.06,nonwin9.png
1,2,128,3,3,1,366.86,nonwex2_6.png
1,2,129,3,3,1,500.82,nonwex2_5.png
